indicator_name,indicator_code
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN
Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS
"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN
"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS
Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN
Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS
Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS
Grants and other revenue (current LCU),GC.REV.GOTR.CN
Grants and other revenue (% of revenue),GC.REV.GOTR.ZS
Social contributions (current LCU),GC.REV.SOCL.CN
Social contributions (% of revenue),GC.REV.SOCL.ZS
"Revenue, excluding grants (current LCU)",GC.REV.XGRT.CN
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS
Taxes on exports (current LCU),GC.TAX.EXPT.CN
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS
Taxes on goods and services (current LCU),GC.TAX.GSRV.CN
Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS
Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS
Customs and other import duties (current LCU),GC.TAX.IMPT.CN
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS
Taxes on international trade (current LCU),GC.TAX.INTT.CN
Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS
Other taxes (current LCU),GC.TAX.OTHR.CN
Other taxes (% of revenue),GC.TAX.OTHR.RV.ZS
Tax revenue (current LCU),GC.TAX.TOTL.CN
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS
"Taxes on income, profits and capital gains (current LCU)",GC.TAX.YPKG.CN
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS
Compensation of employees (current LCU),GC.XPN.COMP.CN
Compensation of employees (% of expense),GC.XPN.COMP.ZS
Goods and services expense (current LCU),GC.XPN.GSRV.CN
Goods and services expense (% of expense),GC.XPN.GSRV.ZS
Interest payments (current LCU),GC.XPN.INTP.CN
Interest payments (% of revenue),GC.XPN.INTP.RV.ZS
Interest payments (% of expense),GC.XPN.INTP.ZS
Other expense (current LCU),GC.XPN.OTHR.CN
Other expense (% of expense),GC.XPN.OTHR.ZS
Expense (current LCU),GC.XPN.TOTL.CN
Expense (% of GDP),GC.XPN.TOTL.GD.ZS
Subsidies and other transfers (current LCU),GC.XPN.TRFT.CN
Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS
Government Effectiveness: Estimate,GE.EST
Government Effectiveness: Number of Sources,GE.NO.SRC
Government Effectiveness: Percentile Rank,GE.PER.RNK
"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER
"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER
Government Effectiveness: Standard Error,GE.STD.ERR
Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA
B-READY: Business Entry: Overall Score,IC.BRE.BE.OS
B-READY: Business Entry Pillar 1: Quality of Regulations for Business Entry,IC.BRE.BE.P1
B-READY: Business Entry Pillar 2: Digital Public Services and Transparency of Information for Business Entry,IC.BRE.BE.P2
B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,IC.BRE.BE.P3
B-READY: Business Insolvency: Overall Score,IC.BRE.BI.OS
B-READY: Business Insolvency Pillar 1: Quality of Regulations for Judicial Insolvency Proceedings,IC.BRE.BI.P1
B-READY: Business Insolvency Pillar 2: Quality of Institutional and Operational Infrastructure for Judicial Insolvency Proceedings,IC.BRE.BI.P2
B-READY: Business Insolvency Pillar 3: Operational Efficiency of Resolving Judicial Insolvency Proceedings,IC.BRE.BI.P3
B-READY: Business Location: Overall Score,IC.BRE.BL.OS
B-READY: Business Location Pillar 1: Quality of Regulations for Business Location,IC.BRE.BL.P1
B-READY: Business Location Pillar 2: Quality of Public Services and Transparency of Information for Business Location,IC.BRE.BL.P2
B-READY: Business Location Pillar 3: Operational Efficiency of Establishing a Business Location,IC.BRE.BL.P3
B-READY: Dispute Resolution: Overall Score,IC.BRE.DR.OS
B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1
B-READY: Dispute Resolution Pillar 2: Public Services for Dispute Resolution,IC.BRE.DR.P2
B-READY: Dispute Resolution Pillar 3:  Ease of Resolving a Commercial Dispute,IC.BRE.DR.P3
B-READY: Financial Services: Overall Score,IC.BRE.FS.OS
B-READY: Financial Services Pillar 1: Quality of Regulations for Financial Services,IC.BRE.FS.P1
B-READY: Financial Services Pillar 2: Accessibility of Information in Credit Infrastructure,IC.BRE.FS.P2
B-READY: Financial Services Pillar 3: Operational Efficiency of Receiving Financial Services,IC.BRE.FS.P3
B-READY: International Trade: Overall Score,IC.BRE.IT.OS
B-READY: International Trade Pillar 1: Quality of Regulations for International Trade,IC.BRE.IT.P1
B-READY: International Trade Pillar 2: Quality of Public Services for the Facilitation of International Trade,IC.BRE.IT.P2
"B-READY: International Trade Pillar 3: Efficiency of Importing Goods, Exporting Goods, and Engaging in Digital Trade",IC.BRE.IT.P3
B-READY: Labor: Overall Score,IC.BRE.LB.OS
B-READY: Labor Pillar 1: Quality of Labor Regulations,IC.BRE.LB.P1
B-READY: Labor Pillar 2: Adequacy of Public Services for Labor,IC.BRE.LB.P2
B-READY: Labor Pillar 3: Operational Efficiency of Labor Regulations and Public Services in Practice,IC.BRE.LB.P3
B-READY: Market Competition: Overall Score,IC.BRE.MC.OS
B-READY: Market Competition Pillar 1: Quality of Regulations that Promote Market Competition,IC.BRE.MC.P1
B-READY: Market Competition Pillar 2: Public Services that Promote Market Competition,IC.BRE.MC.P2
B-READY: Market Competition Pillar 3:  Implementation of Key Services Promoting Market Competition,IC.BRE.MC.P3
B-READY: Pillar 1: Regulatory Framework,IC.BRE.P1.RF
B-READY: Pillar 2: Public Services,IC.BRE.P2.PS
B-READY: Pillar 3: Operational Efficiency,IC.BRE.P3.OE
B-READY: Taxation: Overall Score,IC.BRE.TX.OS
B-READY: Taxation Pillar 1: Quality of Regulations on Taxation,IC.BRE.TX.P1
B-READY: Taxation Pillar 2: Public Services Provided by the Tax Administration,IC.BRE.TX.P2
B-READY: Taxation Pillar 3: Operational Efficiency of Tax Systems in Practice,IC.BRE.TX.P3
B-READY: Utility Services: Overall Score,IC.BRE.US.OS
B-READY: Utility Services Pillar 1: Quality of Regulations on Utility Services,IC.BRE.US.P1
B-READY: Utility Services Pillar 2: Quality of Governance and Transparency of Utility Services,IC.BRE.US.P2
B-READY: Utility Services Pillar 3: Operational Efficiency of Utility Service Provision,IC.BRE.US.P3
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS
New businesses registered (number),IC.BUS.NREG
Average time to clear exports through customs (days),IC.CUS.DURS.EX
Time to obtain an electrical connection (days),IC.ELC.DURS
Power outages in firms in a typical month (number),IC.ELC.OUTG
Firms experiencing electrical outages (% of firms),IC.ELC.OUTG.ZS
Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS
Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS
Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS
Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS
Informal payments to public officials (% of firms),IC.FRM.CORR.ZS
Losses due to theft and vandalism (% of annual sales for affected firms),IC.FRM.CRIM.ZS
Time required to obtain an operating license (days),IC.FRM.DURS
Firms with female top manager (% of firms),IC.FRM.FEMM.ZS
Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS
Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS
Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS
Firms visited or required meetings with tax officials (% of firms),IC.FRM.METG.ZS
Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS
Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS
Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS
Firms offering formal training (% of firms),IC.FRM.TRNG.ZS
Time spent dealing with the requirements of government regulations (% of senior management time),IC.GOV.DURS.ZS
Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS
Number of visits or required meetings with tax officials (average for affected firms),IC.TAX.METG
Investment in energy with private participation (current US$),IE.PPI.ENGY.CD
Investment in ICT with private participation (current US$),IE.PPI.ICTI.CD
Investment in transport with private participation (current US$),IE.PPI.TRAN.CD
Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD
Public private partnerships investment in ICT (current US$),IE.PPN.ICTI.CD
Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD
Public private partnerships investment in water and sanitation (current US$),IE.PPN.WATR.CD
"Industrial design applications, nonresident, by count",IP.IDS.NRCT
"Industrial design applications, resident, by count",IP.IDS.RSCT
Scientific and technical journal articles,IP.JRN.ARTC.SC
"Patent applications, nonresidents",IP.PAT.NRES
"Patent applications, residents",IP.PAT.RESD
"Trademark applications, nonresident, by count",IP.TMK.NRCT
"Trademark applications, resident, by count",IP.TMK.RSCT
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ
CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ
CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ
CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ
CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ
CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ
CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ
CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ
CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ
CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ
CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ
CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ
CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ
CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ
CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ
CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL
Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),IQ.SPI.PIL1
Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),IQ.SPI.PIL2
Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),IQ.SPI.PIL3
Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),IQ.SPI.PIL4
Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),IQ.SPI.PIL5
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1
"Air transport, passengers carried",IS.AIR.PSGR
"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6
"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM
Rail lines (total route-km),IS.RRS.TOTL.KM
Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU
Mobile cellular subscriptions,IT.CEL.SETS
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
Fixed telephone subscriptions,IT.MLT.MAIN
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2
Fixed broadband subscriptions,IT.NET.BBND
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2
Secure Internet servers,IT.NET.SECR
Secure Internet servers (per 1 million people),IT.NET.SECR.P6
"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS
"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS
Individuals using the Internet (% of population),IT.NET.USER.ZS
"Lead time to export, median case (days)",LP.EXP.DURS.MD
"Lead time to import, median case (days)",LP.IMP.DURS.MD
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),LP.LPI.LOGS.XQ
Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD
"Armed forces personnel, total",MS.MIL.TOTL.P1
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS
Military expenditure (current USD),MS.MIL.XPND.CD
Military expenditure (current LCU),MS.MIL.XPND.CN
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS
Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD
General government final consumption expenditure (current US$),NE.CON.GOVT.CD
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN
General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD
General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD
Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN
Households and NPISHs final consumption expenditure: linked series (current LCU),NE.CON.PRVT.CN.AD
Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD
Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN
Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD
Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG
"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD
"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",NE.CON.PRVT.PP.KD
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS
Final consumption expenditure (current US$),NE.CON.TOTL.CD
Final consumption expenditure (current LCU),NE.CON.TOTL.CN
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD
Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG
Final consumption expenditure (constant LCU),NE.CON.TOTL.KN
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS
Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS
Gross national expenditure (current US$),NE.DAB.TOTL.CD
Gross national expenditure (current LCU),NE.DAB.TOTL.CN
Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS
Exports of goods and services (current US$),NE.EXP.GNFS.CD
Exports of goods and services (current LCU),NE.EXP.GNFS.CN
Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN
Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS
Changes in inventories (current US$),NE.GDI.STKB.CD
Changes in inventories (current LCU),NE.GDI.STKB.CN
Changes in inventories (constant LCU),NE.GDI.STKB.KN
Gross capital formation (current US$),NE.GDI.TOTL.CD
Gross capital formation (current LCU),NE.GDI.TOTL.CN
Gross capital formation (constant 2015 US$),NE.GDI.TOTL.KD
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG
Gross capital formation (constant LCU),NE.GDI.TOTL.KN
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS
Imports of goods and services (current US$),NE.IMP.GNFS.CD
Imports of goods and services (current LCU),NE.IMP.GNFS.CN
Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS
External balance on goods and services (current US$),NE.RSB.GNFS.CD
External balance on goods and services (current LCU),NE.RSB.GNFS.CN
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS
Trade (% of GDP),NE.TRD.GNFS.ZS
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD
"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD
"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD
"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN
"Industry (including construction), value added per worker (constant 2015 US$)",NV.IND.EMPL.KD
"Manufacturing, value added (current US$)",NV.IND.MANF.CD
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN
"Manufacturing, value added (constant 2015 US$)",NV.IND.MANF.KD
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD
"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG
"Industry (including construction), value added (constant LCU)",NV.IND.TOTL.KN
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS
Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN
"Services, value added per worker (constant 2015 US$)",NV.SRV.EMPL.KD
"Services, value added (current US$)",NV.SRV.TOTL.CD
"Services, value added (current LCU)",NV.SRV.TOTL.CN
"Services, value added (constant 2015 US$)",NV.SRV.TOTL.KD
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG
"Services, value added (constant LCU)",NV.SRV.TOTL.KN
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS
Adjusted net national income (current US$),NY.ADJ.NNTY.CD
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD
Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG
"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS
GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN
Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD
Gross value added at basic prices (GVA) (current LCU),NY.GDP.FCST.CN
Gross value added at basic prices (GVA) (constant 2015 US$),NY.GDP.FCST.KD
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS
Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS
GDP (current US$),NY.GDP.MKTP.CD
GDP (current LCU),NY.GDP.MKTP.CN
GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD
GDP (constant 2015 US$),NY.GDP.MKTP.KD
GDP growth (annual %),NY.GDP.MKTP.KD.ZG
GDP (constant LCU),NY.GDP.MKTP.KN
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD
Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS
GDP per capita (current US$),NY.GDP.PCAP.CD
GDP per capita (current LCU),NY.GDP.PCAP.CN
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG
GDP per capita (constant LCU),NY.GDP.PCAP.KN
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD
Oil rents (% of GDP),NY.GDP.PETR.RT.ZS
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS
Gross domestic savings (current US$),NY.GDS.TOTL.CD
Gross domestic savings (current LCU),NY.GDS.TOTL.CN
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS
Gross domestic income (constant LCU),NY.GDY.TOTL.KN
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD
GNI (current US$),NY.GNP.MKTP.CD
GNI (current LCU),NY.GNP.MKTP.CN
GNI: linked series (current LCU),NY.GNP.MKTP.CN.AD
GNI (constant 2015 US$),NY.GNP.MKTP.KD
GNI growth (annual %),NY.GNP.MKTP.KD.ZG
GNI (constant LCU),NY.GNP.MKTP.KN
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD
"GNI, PPP (constant 2021 international $)",NY.GNP.MKTP.PP.KD
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD
GNI per capita (current LCU),NY.GNP.PCAP.CN
GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG
GNI per capita (constant LCU),NY.GNP.PCAP.KN
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD
"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD
Gross savings (current US$),NY.GNS.ICTR.CD
Gross savings (current LCU),NY.GNS.ICTR.CN
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS
Gross savings (% of GDP),NY.GNS.ICTR.ZS
Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN
Net primary income (Net income from abroad) (constant LCU),NY.GSR.NFCY.KN
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD
